Date,Predicted_Load_MWh
2025-05-29 06:00:00,650.4475026959276
2025-05-29 07:00:00,692.8536316303733
2025-05-29 08:00:00,704.2214904167214
2025-05-29 09:00:00,693.2260049615613
2025-05-29 10:00:00,690.7246084726279
2025-05-29 11:00:00,707.2483542008322
2025-05-29 12:00:00,736.1465639085039
2025-05-29 13:00:00,766.741030761998
2025-05-29 14:00:00,800.4919898453071
2025-05-29 15:00:00,801.3060452786237
2025-05-29 16:00:00,770.8849458346879
2025-05-29 17:00:00,740.786309139918
2025-05-29 18:00:00,705.5013174391909
2025-05-29 19:00:00,680.7037889561589
2025-05-29 20:00:00,692.1605585651271
2025-05-29 21:00:00,703.1834429576004
2025-05-29 22:00:00,712.5455702263606
2025-05-29 23:00:00,729.4272238625756
2025-05-30 00:00:00,759.7914944718657
2025-05-30 01:00:00,796.7861394400392
2025-05-30 02:00:00,816.7407796959627
2025-05-30 03:00:00,812.6511039408142
2025-05-30 04:00:00,802.7727529832634
2025-05-30 05:00:00,773.0404326820875
2025-05-30 06:00:00,730.2501799582308
2025-05-30 07:00:00,687.2275564546821
2025-05-30 08:00:00,671.6021134987467
2025-05-30 09:00:00,681.6891667328423
2025-05-30 10:00:00,693.7040163613932
2025-05-30 11:00:00,707.4559816199114
2025-05-30 12:00:00,741.7977198343167
2025-05-30 13:00:00,775.8403279866715
2025-05-30 14:00:00,808.1449521753023
2025-05-30 15:00:00,812.8321563741263
2025-05-30 16:00:00,786.0279068914613
2025-05-30 17:00:00,764.5006432516903
2025-05-30 18:00:00,743.1462887787568
2025-05-30 19:00:00,727.4237446850192
2025-05-30 20:00:00,705.6910688593957
2025-05-30 21:00:00,705.7663332496601
2025-05-30 22:00:00,715.8524238220677
2025-05-30 23:00:00,736.2418265328433
2025-05-31 00:00:00,767.0992652669443
2025-05-31 01:00:00,812.8119412817699
2025-05-31 02:00:00,835.1303382138863
2025-05-31 03:00:00,839.245171296618
2025-05-31 04:00:00,817.078316277255
2025-05-31 05:00:00,789.4856170550265
2025-05-31 06:00:00,737.8635265907034
2025-05-31 07:00:00,674.3181409024421
2025-05-31 08:00:00,658.9872190763497
2025-05-31 09:00:00,658.9438270377958
2025-05-31 10:00:00,671.1265846075798
2025-05-31 11:00:00,689.3822876201718
2025-05-31 12:00:00,711.9568568629779
2025-05-31 13:00:00,747.4816791736678
2025-05-31 14:00:00,771.8448647787576
2025-05-31 15:00:00,783.6388366736751
2025-05-31 16:00:00,779.6244771914564
2025-05-31 17:00:00,748.2652361136404
2025-05-31 18:00:00,718.7771212629324
2025-05-31 19:00:00,689.7957456085805
2025-05-31 20:00:00,675.2000838557717
2025-05-31 21:00:00,680.3761780985373
2025-05-31 22:00:00,688.0888586695474
2025-05-31 23:00:00,702.2276159833019
2025-06-01 00:00:00,660.9131286151177
2025-06-01 01:00:00,644.941894059545
2025-06-01 02:00:00,640.5426160862164
2025-06-01 03:00:00,630.4819546647009
2025-06-01 04:00:00,634.3423590717421
2025-06-01 05:00:00,616.7440125051623
2025-06-01 06:00:00,589.277130116061
2025-06-01 07:00:00,546.6755563179335
2025-06-01 08:00:00,497.4485464528143
2025-06-01 09:00:00,474.42048182284907
2025-06-01 10:00:00,484.6154376950817
2025-06-01 11:00:00,543.5511208553677
2025-06-01 12:00:00,582.4674519734893
2025-06-01 13:00:00,592.7908289689176
2025-06-01 14:00:00,591.6029780419253
2025-06-01 15:00:00,590.876116018591
2025-06-01 16:00:00,570.5221880899901
2025-06-01 17:00:00,556.8422280813068
2025-06-01 18:00:00,546.3144189243476
2025-06-01 19:00:00,555.891670073108
2025-06-01 20:00:00,573.894646952298
2025-06-01 21:00:00,584.9611953407943
2025-06-01 22:00:00,596.1169821434564
2025-06-01 23:00:00,619.7493114918188
2025-06-02 00:00:00,643.1949155543175
2025-06-02 01:00:00,660.8924008468998
2025-06-02 02:00:00,658.8570462240444
2025-06-02 03:00:00,648.3983363791638
2025-06-02 04:00:00,620.3147256103126
2025-06-02 05:00:00,594.3456994702477
2025-06-02 06:00:00,566.4951189567132
2025-06-02 07:00:00,544.8201634248051
2025-06-02 08:00:00,530.5068533061188
2025-06-02 09:00:00,539.6375906509314
2025-06-02 10:00:00,557.3856112982021
2025-06-02 11:00:00,582.8938018496686
2025-06-02 12:00:00,606.4412710190434
2025-06-02 13:00:00,635.8181429956154
2025-06-02 14:00:00,659.44423092009
2025-06-02 15:00:00,657.0442149395109
2025-06-02 16:00:00,644.3770111255828
2025-06-02 17:00:00,627.7166625852853
2025-06-02 18:00:00,613.2343463542629
2025-06-02 19:00:00,624.0555486015612
2025-06-02 20:00:00,626.4421117349883
2025-06-02 21:00:00,633.5772083559506
2025-06-02 22:00:00,638.8470464909537
2025-06-02 23:00:00,647.0505494309916
2025-06-03 00:00:00,667.6398120541983
2025-06-03 01:00:00,678.7846741396525
2025-06-03 02:00:00,679.5578423818218
2025-06-03 03:00:00,668.771080462101
2025-06-03 04:00:00,643.1260636778877
2025-06-03 05:00:00,615.7949515994575
2025-06-03 06:00:00,594.3280519059142
2025-06-03 07:00:00,586.0776015699292
2025-06-03 08:00:00,586.9580274308258
2025-06-03 09:00:00,585.9603798391653
2025-06-03 10:00:00,592.1261426172057
2025-06-03 11:00:00,611.3794810258989
2025-06-03 12:00:00,642.9517030239924
2025-06-03 13:00:00,662.9105830425339
2025-06-03 14:00:00,665.1785486402723
2025-06-03 15:00:00,655.0019662757192
2025-06-03 16:00:00,636.5931535325083
2025-06-03 17:00:00,627.4871786134672
2025-06-03 18:00:00,626.8141146338513
